layer	source	target	run	ACMP	ACT-arg	ADDR-arg	ADVS.member	AIM	APP	APPS.member	BEN	COMPL	CONJ.member	DESCR	DIFF	DIR1	DISJ.member	EFF-arg	EXT	LOC	MANN	MAT	NE	PAT-arg	PREC	REG	RHEM	RSTR	THL	TWHEN
2	en	en	2	0.0333	0.776	0.2308	0.9383	0.2989	0.6275	0.8894	0.04	0.2807	0.9284	0.3333	0.758	0.28	0.7556	0.8178	0.6248	0.4107	0.2557	0.4906	0.7939	0.631	0.9215	0.2456	0.8136	0.7687	0.3841	0.6431
3	en	en	2	0.0328	0.8058	0.1481	0.9344	0.2981	0.5966	0.8827	0.0606	0.3259	0.9253	0.4055	0.7339	0.2857	0.7373	0.7856	0.592	0.3887	0.1809	0.3711	0.7702	0.6467	0.9246	0.2218	0.7653	0.7577	0.3056	0.5926
4	en	en	2	0.1494	0.8311	0.3094	0.935	0.3188	0.6382	0.8913	0.3286	0.3566	0.9335	0.4615	0.7706	0.3067	0.7265	0.8072	0.5587	0.5363	0.201	0.4762	0.788	0.6875	0.8939	0.2289	0.7748	0.7692	0.2979	0.6143
0	en	en	3	0	0.6613	0.2284	0.9339	0.1646	0.5629	0.8661	0	0.1947	0.915	0.1333	0.7009	0.2585	0.7265	0.7751	0.6165	0.2991	0.3613	0.4502	0.7401	0.5604	0.8962	0.2521	0.632	0.7428	0.4129	0.6459
1	en	en	3	0.0339	0.7482	0.311	0.9339	0.2889	0.6262	0.8898	0.0971	0.3361	0.9265	0.3125	0.7807	0.2632	0.7397	0.8145	0.6303	0.4205	0.3172	0.434	0.7922	0.6199	0.899	0.2597	0.8089	0.7741	0.3973	0.6422
2	en	en	3	0.0169	0.7735	0.2344	0.9262	0.2644	0.6231	0.892	0.04	0.2807	0.9304	0.3618	0.7798	0.271	0.7421	0.8058	0.6282	0.3974	0.2969	0.466	0.7959	0.6307	0.9169	0.2296	0.8313	0.7699	0.3758	0.655
3	en	en	3	0.0472	0.8071	0.2308	0.93	0.266	0.5998	0.8883	0.0404	0.3387	0.9304	0.3216	0.7299	0.2819	0.7424	0.7934	0.5872	0.3732	0.1458	0.3964	0.7651	0.648	0.9127	0.2242	0.7802	0.753	0.2836	0.5753
4	en	en	3	0.12	0.8368	0.2971	0.9388	0.3582	0.6501	0.887	0.3444	0.3939	0.9313	0.4414	0.7339	0.2963	0.7411	0.7982	0.5841	0.538	0.2162	0.4785	0.7844	0.6865	0.9027	0.2211	0.7586	0.7725	0.338	0.6254
0	en	es	1	0.0328	0.7196	0.3467	0.9339	0.3125	0.6156	0.8768	0.0588	0.2992	0.9137	0.1856	0.7349	0.271	0.7265	0.8315	0.6657	0.3516	0.4354	0.4898	0.7898	0.6314	0.8976	0.2917	0.6481	0.7816	0.4634	0.676
1	en	es	1	0.3106	0.8955	0.5876	0.9344	0.4887	0.6746	0.8934	0.3046	0.5906	0.9333	0.5175	0.8089	0.3681	0.723	0.8643	0.6813	0.5719	0.4691	0.6066	0.8595	0.7823	0.9216	0.3148	0.8598	0.8284	0.3974	0.7314
2	en	es	1	0.3977	0.9068	0.5581	0.9344	0.4885	0.6628	0.9102	0.3636	0.6038	0.9319	0.5422	0.7857	0.3977	0.7534	0.8337	0.6754	0.6027	0.4548	0.5691	0.8513	0.7865	0.9249	0.3077	0.8585	0.8305	0.4099	0.734
3	en	es	1	0.4316	0.9215	0.6022	0.9435	0.5837	0.6885	0.9151	0.3815	0.6829	0.9412	0.5485	0.7679	0.4492	0.7602	0.8745	0.6947	0.6355	0.4984	0.5785	0.8618	0.8139	0.9193	0.3338	0.8658	0.8341	0.4294	0.7457
4	en	es	1	0.45	0.9273	0.6496	0.9482	0.5726	0.7177	0.9186	0.5281	0.6897	0.9418	0.5946	0.8417	0.4631	0.7364	0.881	0.7077	0.6781	0.5063	0.6098	0.8699	0.8356	0.9216	0.377	0.8703	0.8447	0.4459	0.7521
0	en	es	2	0.0168	0.7209	0.3607	0.9339	0.2963	0.5983	0.8809	0.0204	0.3546	0.9171	0.2234	0.7692	0.2733	0.7265	0.8229	0.6695	0.3379	0.4775	0.5064	0.7773	0.6237	0.9031	0.2565	0.6345	0.7833	0.411	0.6626
1	en	es	2	0.3314	0.895	0.5506	0.9388	0.5158	0.6652	0.9037	0.3185	0.5488	0.9344	0.5607	0.8142	0.4068	0.7465	0.8689	0.6771	0.5797	0.4571	0.5778	0.8543	0.7815	0.9117	0.3333	0.8677	0.8288	0.3742	0.7245
2	en	es	2	0.3864	0.9097	0.5559	0.9344	0.5299	0.6779	0.9123	0.3333	0.6951	0.9312	0.5286	0.7983	0.4153	0.758	0.8482	0.6725	0.5973	0.5245	0.5798	0.8557	0.7888	0.9197	0.3134	0.8724	0.8261	0.3896	0.7302
3	en	es	2	0.3933	0.9187	0.6016	0.9474	0.5495	0.6893	0.9136	0.4142	0.6786	0.9403	0.6032	0.8151	0.4222	0.7532	0.8834	0.699	0.6477	0.5387	0.568	0.8701	0.8175	0.9231	0.3628	0.8622	0.8398	0.3975	0.7411
4	en	es	2	0.4444	0.9296	0.6632	0.9482	0.5388	0.7173	0.9204	0.5348	0.6286	0.9443	0.5873	0.839	0.4468	0.7378	0.8742	0.7039	0.6857	0.509	0.6276	0.8671	0.8391	0.9291	0.3744	0.8707	0.8395	0.4026	0.7534
0	en	es	3	0.0167	0.7209	0.3473	0.9339	0.3246	0.615	0.8756	0.0385	0.3309	0.9165	0.2388	0.6887	0.2875	0.7296	0.8167	0.6676	0.3404	0.4452	0.5169	0.7814	0.6288	0.9015	0.2539	0.6272	0.7822	0.4238	0.6709
1	en	es	3	0.3273	0.8925	0.5333	0.9388	0.5046	0.6685	0.9073	0.3129	0.5949	0.9346	0.4883	0.7838	0.3842	0.7534	0.8626	0.6819	0.5732	0.4537	0.5714	0.8624	0.7847	0.9333	0.3094	0.8734	0.8243	0.3949	0.722
2	en	es	3	0.3026	0.9064	0.5723	0.9344	0.5066	0.6775	0.9065	0.3289	0.6748	0.9309	0.5678	0.8103	0.4	0.729	0.8513	0.7039	0.6115	0.4747	0.583	0.846	0.7841	0.9223	0.3186	0.8658	0.8289	0.4	0.7329
3	en	es	3	0.4045	0.919	0.612	0.9435	0.5561	0.6879	0.9146	0.3494	0.6707	0.9363	0.5478	0.812	0.4157	0.7568	0.8839	0.7084	0.636	0.5192	0.5774	0.8636	0.8175	0.931	0.3354	0.874	0.8382	0.4099	0.7358
4	en	es	3	0.4646	0.9311	0.6545	0.952	0.5551	0.7237	0.9198	0.5538	0.6584	0.9429	0.5781	0.834	0.4949	0.7387	0.8816	0.7001	0.685	0.4734	0.6154	0.8686	0.838	0.9268	0.3318	0.8795	0.8437	0.4052	0.7531
0	en	fr	1	0	0.7282	0.36	0.9339	0.342	0.6128	0.8804	0.0202	0.3259	0.9137	0.3077	0.7759	0.2911	0.7225	0.8339	0.6704	0.3581	0.4403	0.5101	0.7735	0.6394	0.8922	0.2834	0.6189	0.7851	0.4224	0.671
1	en	fr	1	0.2483	0.8678	0.5407	0.9312	0.4589	0.6828	0.9141	0.3714	0.5235	0.9351	0.5462	0.795	0.3165	0.7644	0.8659	0.6896	0.5317	0.4233	0.605	0.8503	0.7565	0.9231	0.3446	0.8598	0.8298	0.4177	0.7157
2	en	fr	1	0.271	0.9034	0.5779	0.9398	0.5022	0.6743	0.9126	0.3256	0.549	0.9347	0.563	0.8194	0.3669	0.7556	0.878	0.6845	0.5824	0.4568	0.6033	0.8555	0.788	0.9154	0.3529	0.8477	0.8332	0.4258	0.722
3	en	fr	1	0.3415	0.9109	0.6453	0.9435	0.5388	0.6916	0.9128	0.4	0.5625	0.9394	0.5088	0.8326	0.4022	0.7237	0.8705	0.6874	0.6195	0.4777	0.6056	0.8491	0.8034	0.9242	0.3287	0.8633	0.8322	0.4311	0.7336
4	en	fr	1	0.5517	0.93	0.6684	0.9393	0.5678	0.7153	0.9138	0.5654	0.6628	0.9423	0.5726	0.8426	0.492	0.7436	0.8765	0.6891	0.7014	0.5065	0.6073	0.8611	0.8388	0.9307	0.3667	0.8429	0.8416	0.4606	0.7659
0	en	fr	2	0.0323	0.7294	0.3636	0.9339	0.3415	0.5921	0.8742	0.0206	0.3111	0.9129	0.2439	0.7713	0.2875	0.7265	0.8248	0.6503	0.3386	0.4306	0.5242	0.7731	0.6408	0.8988	0.2979	0.6538	0.7751	0.3733	0.6715
1	en	fr	2	0.1642	0.8677	0.5438	0.935	0.4673	0.6873	0.9102	0.3308	0.4748	0.9394	0.531	0.8034	0.3176	0.7511	0.8749	0.6847	0.5225	0.4272	0.5984	0.8488	0.7539	0.92	0.2726	0.8477	0.8239	0.3871	0.703
2	en	fr	2	0.2466	0.9056	0.6137	0.9388	0.5	0.6797	0.9105	0.3974	0.5513	0.9358	0.4793	0.8174	0.314	0.7431	0.8746	0.6921	0.5506	0.4473	0.6008	0.8503	0.7941	0.9109	0.3299	0.865	0.828	0.3867	0.703
3	en	fr	2	0.3375	0.9143	0.6842	0.9398	0.5128	0.6937	0.9117	0.4146	0.5912	0.94	0.5506	0.8347	0.3911	0.7446	0.873	0.6939	0.622	0.4771	0.5926	0.858	0.8145	0.9246	0.3489	0.8711	0.8327	0.4809	0.7318
4	en	fr	2	0.4541	0.9304	0.6453	0.9431	0.5202	0.7195	0.9099	0.5625	0.6386	0.9406	0.5892	0.8412	0.4835	0.7468	0.8644	0.6723	0.6554	0.4795	0.6245	0.8525	0.8326	0.9284	0.3795	0.854	0.8374	0.4524	0.756
0	en	fr	3	0	0.7224	0.4046	0.9339	0.2979	0.6056	0.8755	0.0392	0.3088	0.917	0.1685	0.7652	0.2857	0.7296	0.8293	0.6572	0.3252	0.4255	0.5388	0.7699	0.6353	0.895	0.2918	0.6538	0.7761	0.4217	0.6803
1	en	fr	3	0.2029	0.8617	0.5212	0.935	0.4413	0.6701	0.8999	0.2121	0.5478	0.9333	0.5273	0.8376	0.2911	0.7387	0.8688	0.6965	0.5278	0.4505	0.5911	0.8551	0.7457	0.933	0.2923	0.8354	0.8215	0.4545	0.7014
2	en	fr	3	0.2055	0.9063	0.6056	0.9306	0.5662	0.6847	0.9048	0.3111	0.5503	0.9352	0.4978	0.8158	0.3125	0.7434	0.8708	0.6872	0.5622	0.4295	0.5975	0.8515	0.7865	0.9095	0.3411	0.8617	0.8268	0.4	0.7039
3	en	fr	3	0.3333	0.9103	0.6257	0.9431	0.5116	0.7062	0.9198	0.3733	0.5823	0.9427	0.5148	0.7873	0.3978	0.7589	0.8712	0.6871	0.6053	0.4667	0.5984	0.8616	0.8066	0.9073	0.316	0.8541	0.8291	0.4417	0.7445
4	en	fr	3	0.4632	0.9304	0.6594	0.936	0.5108	0.7234	0.9052	0.53	0.6145	0.9382	0.6024	0.8412	0.4889	0.7446	0.8855	0.6833	0.6626	0.5017	0.6311	0.8508	0.8332	0.9265	0.3562	0.8475	0.8391	0.4375	0.7546
0	en	ru	1	0	0.7205	0.3576	0.9339	0.335	0.5857	0.8749	0.0202	0.3111	0.9157	0.2488	0.7511	0.2822	0.7336	0.8287	0.6676	0.3321	0.4234	0.4937	0.7772	0.6353	0.9132	0.2784	0.6477	0.7809	0.3624	0.6817
1	en	ru	1	0.3457	0.8841	0.5	0.9474	0.513	0.664	0.9049	0.3497	0.55	0.9333	0.5565	0.8069	0.3275	0.7644	0.8453	0.6723	0.5766	0.4396	0.582	0.835	0.7681	0.9181	0.3186	0.8344	0.8143	0.3816	0.7132
2	en	ru	1	0.3452	0.9025	0.5181	0.9344	0.4818	0.6571	0.8967	0.2759	0.525	0.9292	0.5485	0.7568	0.3787	0.6986	0.8443	0.6638	0.5675	0.4422	0.556	0.8233	0.7795	0.9051	0.3409	0.8512	0.8161	0.3684	0.715
3	en	ru	1	0.4706	0.9161	0.605	0.9482	0.5455	0.686	0.9205	0.3602	0.5185	0.9419	0.544	0.8178	0.382	0.758	0.8461	0.6997	0.6256	0.4654	0.547	0.8476	0.805	0.931	0.3535	0.8535	0.8298	0.3841	0.7314
4	en	ru	1	0.4554	0.9203	0.6278	0.9524	0.5633	0.7088	0.9156	0.5311	0.5	0.9426	0.5817	0.825	0.492	0.7446	0.842	0.6695	0.6494	0.4904	0.5862	0.8461	0.8142	0.9077	0.3517	0.8185	0.831	0.3425	0.7096
0	en	ru	2	0.0492	0.7262	0.3595	0.9339	0.3229	0.6135	0.8712	0.02	0.3594	0.9168	0.1667	0.7845	0.2857	0.7296	0.8286	0.6588	0.3349	0.4642	0.5124	0.7697	0.6353	0.8995	0.2965	0.6434	0.7852	0.3611	0.6741
1	en	ru	2	0.2968	0.8843	0.5322	0.9306	0.5138	0.6546	0.9027	0.3758	0.5828	0.9327	0.5737	0.8089	0.3351	0.7679	0.8397	0.6753	0.5792	0.4416	0.5761	0.8389	0.7646	0.9165	0.3183	0.8549	0.818	0.4364	0.7332
2	en	ru	2	0.3415	0.8993	0.4908	0.9306	0.5023	0.6513	0.9034	0.2973	0.5359	0.9295	0.5362	0.7733	0.3152	0.7411	0.8527	0.6571	0.5717	0.4415	0.5574	0.8198	0.7786	0.9291	0.3149	0.8375	0.8159	0.4051	0.7194
3	en	ru	2	0.3871	0.912	0.6366	0.9478	0.5316	0.6844	0.9112	0.3896	0.5065	0.9405	0.524	0.8158	0.381	0.7478	0.8616	0.6762	0.6195	0.4518	0.5783	0.8463	0.7971	0.938	0.3377	0.8466	0.8263	0.3947	0.7186
4	en	ru	2	0.4929	0.9163	0.629	0.9603	0.5403	0.7061	0.9127	0.4852	0.4557	0.9433	0.5863	0.8245	0.4624	0.7522	0.8423	0.6768	0.6439	0.4698	0.5868	0.852	0.8163	0.9082	0.3549	0.8224	0.8325	0.3636	0.7145
0	en	ru	3	0.0168	0.7238	0.4128	0.9339	0.3617	0.5943	0.8805	0.0198	0.3407	0.9165	0.1935	0.7387	0.2927	0.7336	0.8233	0.6657	0.3441	0.4307	0.504	0.7762	0.6334	0.9037	0.3055	0.6563	0.7791	0.4294	0.668
1	en	ru	3	0.3671	0.8869	0.509	0.9516	0.5439	0.6473	0.9184	0.3688	0.5949	0.9372	0.5668	0.817	0.3006	0.7748	0.8478	0.6847	0.5796	0.4589	0.6066	0.8339	0.7759	0.9153	0.3065	0.85	0.8125	0.4204	0.7247
2	en	ru	3	0.321	0.904	0.523	0.9393	0.513	0.6444	0.901	0.2857	0.5697	0.9313	0.5214	0.7965	0.3522	0.7288	0.8471	0.6457	0.5855	0.4686	0.5771	0.8248	0.7788	0.9034	0.3254	0.8346	0.8157	0.3846	0.7181
3	en	ru	3	0.3765	0.9103	0.6077	0.952	0.5066	0.6776	0.9169	0.4186	0.5032	0.9403	0.5455	0.8106	0.3657	0.7602	0.8538	0.6844	0.6254	0.4268	0.5702	0.843	0.794	0.93	0.3655	0.8452	0.8291	0.3889	0.7313
4	en	ru	3	0.4649	0.9205	0.6305	0.952	0.5328	0.7085	0.9185	0.4606	0.4878	0.9422	0.6275	0.843	0.4792	0.7289	0.8562	0.6527	0.6361	0.4625	0.5787	0.8426	0.8177	0.9069	0.3693	0.8213	0.8321	0.4485	0.7146
0	en	zh	1	0	0.7193	0.3484	0.9339	0.3687	0.5955	0.8711	0	0.3824	0.9145	0.2775	0.7342	0.2857	0.7296	0.8347	0.6713	0.35	0.4375	0.5083	0.7793	0.6366	0.9055	0.272	0.6585	0.7755	0.3922	0.6644
1	en	zh	1	0.381	0.8908	0.5831	0.9435	0.5394	0.635	0.9091	0.2537	0.5733	0.9323	0.5665	0.8052	0.3415	0.7478	0.8475	0.6569	0.5941	0.457	0.5738	0.8334	0.7806	0.934	0.3142	0.8644	0.8149	0.3949	0.7167
2	en	zh	1	0.4153	0.9081	0.5763	0.9344	0.5086	0.6628	0.8967	0.3205	0.5455	0.9272	0.5944	0.7733	0.3931	0.7511	0.8604	0.6381	0.6074	0.4013	0.5738	0.8046	0.7969	0.9257	0.3485	0.846	0.8189	0.3333	0.7235
3	en	zh	1	0.4278	0.9186	0.6597	0.944	0.5485	0.6988	0.9173	0.4321	0.6289	0.9396	0.5556	0.8426	0.3911	0.7522	0.8864	0.68	0.6481	0.4686	0.6178	0.8405	0.8201	0.928	0.3428	0.8622	0.8296	0.4099	0.7386
4	en	zh	1	0.5174	0.9187	0.658	0.96	0.5089	0.7193	0.9099	0.5412	0.5101	0.942	0.5968	0.8477	0.4757	0.7378	0.8697	0.6648	0.6667	0.5405	0.5892	0.8409	0.8254	0.9235	0.3661	0.8476	0.8308	0.3758	0.728
0	en	zh	2	0.0169	0.7215	0.4061	0.9339	0.2857	0.5894	0.8733	0.0404	0.3714	0.917	0.264	0.7876	0.2767	0.7336	0.824	0.6657	0.3281	0.438	0.4876	0.7753	0.6381	0.879	0.2927	0.6296	0.7803	0.4	0.6766
1	en	zh	2	0.3253	0.8965	0.5031	0.9344	0.5362	0.6629	0.9003	0.3057	0.5556	0.9272	0.5787	0.8103	0.3977	0.7349	0.8448	0.6761	0.5892	0.4728	0.6076	0.8325	0.7783	0.9249	0.3047	0.8494	0.8197	0.3742	0.7323
2	en	zh	2	0.4046	0.91	0.5714	0.935	0.4909	0.6605	0.8962	0.2953	0.5786	0.9287	0.5633	0.7911	0.3842	0.7368	0.8536	0.6582	0.6067	0.4169	0.5812	0.8131	0.792	0.9377	0.2963	0.8668	0.8155	0.3309	0.7278
3	en	zh	2	0.4569	0.9209	0.6216	0.9486	0.5048	0.6881	0.9219	0.4337	0.6341	0.9433	0.5944	0.8376	0.3333	0.7544	0.8929	0.663	0.6403	0.4875	0.5763	0.8448	0.8178	0.9158	0.3233	0.8621	0.831	0.3947	0.7335
4	en	zh	2	0.4519	0.9163	0.6805	0.9603	0.5613	0.7197	0.9114	0.5775	0.5298	0.9442	0.6353	0.8291	0.427	0.7213	0.8688	0.6545	0.6795	0.5078	0.6033	0.8487	0.835	0.9109	0.3466	0.8521	0.8308	0.4177	0.7199
0	en	zh	3	0	0.7201	0.3824	0.9339	0.2995	0.5832	0.8745	0.0396	0.3478	0.9168	0.2304	0.7522	0.2788	0.7296	0.8242	0.6667	0.3224	0.4453	0.4978	0.7703	0.6316	0.8972	0.2653	0.6381	0.7774	0.3804	0.6639
1	en	zh	3	0.3735	0.896	0.5863	0.9388	0.5502	0.6481	0.9059	0.2781	0.5578	0.9331	0.5446	0.7523	0.3957	0.7589	0.8571	0.6805	0.5747	0.4752	0.5815	0.817	0.7795	0.9091	0.2764	0.8644	0.8152	0.3553	0.7248
2	en	zh	3	0.3515	0.9031	0.5378	0.9388	0.5022	0.6659	0.9041	0.2657	0.5175	0.9308	0.5656	0.8087	0.3488	0.7249	0.8534	0.6522	0.6016	0.4345	0.562	0.8116	0.785	0.93	0.2819	0.8429	0.8124	0.3521	0.7227
3	en	zh	3	0.4086	0.9162	0.6436	0.952	0.5485	0.6986	0.9136	0.4551	0.6329	0.9401	0.521	0.8348	0.3886	0.7359	0.8825	0.6685	0.6582	0.4583	0.6	0.8389	0.8165	0.9154	0.3195	0.8607	0.827	0.4129	0.7395
4	en	zh	3	0.4868	0.9196	0.6632	0.9603	0.5362	0.7132	0.9083	0.5333	0.5563	0.9399	0.5868	0.8319	0.4318	0.7345	0.8729	0.6638	0.6551	0.5174	0.5794	0.8521	0.8311	0.9104	0.3048	0.8392	0.8294	0.3919	0.724
