layer	source	target	run	adj_ARG1	app_ARG1	app_ARG2	aux_ARG1	aux_ARG2	comp_ARG1	comp_MOD	conj_ARG1	conj_ARG2	coord_ARG1	coord_ARG2	det_ARG1	noun_ARG1	poss_ARG1	poss_ARG2	prep_ARG1	prep_ARG2	punct_ARG1	relative_ARG1	verb_ARG1	verb_ARG2	verb_ARG3
3	en	en	1	0.8271	0.761	0.7823	0.8339	0.8873	0.9334	0.7542	0.7864	0.7924	0.9001	0.9017	0.9939	0.8391	0.6333	0.932	0.9552	0.9481	0.9369	0.9877	0.8378	0.7824	0.4326
4	en	en	1	0.8485	0.8369	0.835	0.8741	0.9035	0.9494	0.8471	0.8268	0.8383	0.9307	0.9238	0.9931	0.8612	0.669	0.9499	0.9673	0.9604	0.9491	0.9877	0.8811	0.8263	0.5319
0	en	en	2	0.8562	0.462	0.5074	0.6214	0.81	0.8139	0.601	0.5484	0.4583	0.4022	0.5789	0.9905	0.8241	0.367	0.5231	0.7064	0.7438	0.8723	0.8861	0.683	0.6724	0.3938
1	en	en	2	0.8652	0.7237	0.6983	0.7855	0.8954	0.9085	0.7281	0.6367	0.5633	0.766	0.7709	0.9944	0.8663	0.6817	0.9475	0.8821	0.8932	0.9264	0.9606	0.7614	0.7467	0.4957
2	en	en	2	0.8578	0.7638	0.717	0.8387	0.9035	0.9148	0.721	0.6724	0.605	0.8233	0.8216	0.9933	0.8669	0.7225	0.9535	0.9139	0.9162	0.9396	0.9779	0.7974	0.7669	0.4779
3	en	en	2	0.8326	0.7692	0.7707	0.841	0.8886	0.9364	0.7589	0.8006	0.8192	0.8988	0.9043	0.9944	0.8417	0.6312	0.9386	0.9545	0.9514	0.9395	0.9877	0.8409	0.7937	0.4545
4	en	en	2	0.8498	0.8206	0.8438	0.8778	0.904	0.9427	0.8346	0.8213	0.8553	0.9233	0.9216	0.9949	0.8594	0.6919	0.9504	0.9679	0.9581	0.9545	0.9901	0.8826	0.8244	0.514
0	en	en	3	0.8613	0.4603	0.4813	0.6334	0.8192	0.8	0.5842	0.546	0.5176	0.4354	0.5562	0.9909	0.824	0.3808	0.5226	0.7082	0.7392	0.8791	0.9005	0.6727	0.6809	0.4012
1	en	en	3	0.8649	0.7027	0.6878	0.7948	0.896	0.9136	0.7081	0.6463	0.5721	0.7593	0.7519	0.9938	0.8632	0.6536	0.9454	0.8849	0.898	0.9293	0.9559	0.7722	0.7571	0.4826
2	en	en	3	0.8601	0.741	0.6809	0.8382	0.9003	0.9233	0.748	0.6915	0.6055	0.8226	0.8202	0.9938	0.863	0.739	0.9537	0.9114	0.9152	0.9378	0.963	0.7919	0.7654	0.4472
3	en	en	3	0.8323	0.7358	0.7551	0.8389	0.8957	0.9302	0.787	0.8075	0.8512	0.8919	0.893	0.9936	0.8447	0.6418	0.941	0.9561	0.9515	0.9368	0.9852	0.8418	0.7951	0.4172
4	en	en	3	0.8484	0.8333	0.8527	0.8636	0.9107	0.9391	0.827	0.834	0.8499	0.9222	0.9248	0.9941	0.854	0.6436	0.9436	0.9679	0.9572	0.9492	0.9877	0.8791	0.8344	0.5356
0	en	es	1	0.9006	0.4985	0.5308	0.7046	0.8889	0.8523	0.6471	0.5784	0.56	0.4204	0.6022	0.9936	0.8659	0.4008	0.5501	0.7572	0.7927	0.891	0.9175	0.7301	0.7395	0.4973
1	en	es	1	0.9212	0.8314	0.8288	0.9176	0.9656	0.9706	0.9719	0.8092	0.804	0.8972	0.8903	0.997	0.9228	0.8775	0.9735	0.9642	0.9723	0.9599	0.9877	0.9191	0.914	0.7282
2	en	es	1	0.923	0.8472	0.8396	0.9201	0.9633	0.9762	0.9683	0.8519	0.8857	0.9272	0.9225	0.9961	0.929	0.8843	0.9754	0.9691	0.9765	0.962	0.9877	0.9305	0.9233	0.7252
3	en	es	1	0.928	0.8623	0.8398	0.9459	0.9716	0.9786	0.9723	0.8792	0.908	0.9363	0.9315	0.9966	0.9319	0.8973	0.9755	0.9789	0.9811	0.9669	0.9901	0.9509	0.9375	0.7453
4	en	es	1	0.9279	0.8808	0.8827	0.9634	0.9731	0.9778	0.9843	0.907	0.9265	0.9525	0.9497	0.9965	0.9307	0.8787	0.9773	0.9852	0.9837	0.9759	0.9926	0.9581	0.9444	0.7768
0	en	es	2	0.8925	0.5007	0.5327	0.6949	0.885	0.8611	0.633	0.549	0.5	0.5347	0.5311	0.9937	0.864	0.4249	0.5517	0.7621	0.7972	0.8964	0.9257	0.7282	0.7401	0.516
1	en	es	2	0.9241	0.8406	0.8224	0.9116	0.9651	0.973	0.9723	0.8031	0.8131	0.8972	0.8875	0.9971	0.9266	0.8767	0.9789	0.9631	0.9707	0.9598	0.9901	0.9165	0.9087	0.6683
2	en	es	2	0.923	0.8346	0.8394	0.9195	0.9596	0.9802	0.976	0.8504	0.8778	0.9228	0.9207	0.9965	0.927	0.895	0.9723	0.9697	0.9755	0.9637	0.9926	0.9324	0.9231	0.7329
3	en	es	2	0.9258	0.8645	0.8516	0.9447	0.9699	0.9785	0.9723	0.8918	0.9102	0.9382	0.93	0.9959	0.9281	0.8942	0.9753	0.9792	0.9814	0.9669	0.9926	0.9483	0.9392	0.77
4	en	es	2	0.927	0.8778	0.8782	0.96	0.9679	0.9826	0.9802	0.9046	0.9231	0.9516	0.9422	0.9961	0.9287	0.8918	0.9825	0.9852	0.9835	0.9732	0.9926	0.9588	0.9433	0.7875
0	en	es	3	0.8956	0.4986	0.5321	0.7037	0.8749	0.8501	0.6667	0.5843	0.4901	0.5217	0.5232	0.9926	0.8618	0.3967	0.5551	0.7673	0.7933	0.8989	0.92	0.7307	0.7433	0.5192
1	en	es	3	0.9226	0.8402	0.8427	0.9078	0.9657	0.9712	0.9444	0.815	0.8122	0.8978	0.8925	0.9968	0.9272	0.8755	0.9658	0.9626	0.971	0.9589	0.9926	0.9133	0.9124	0.7042
2	en	es	3	0.9251	0.8468	0.851	0.9186	0.9626	0.9776	0.9758	0.8701	0.8894	0.9213	0.9191	0.9958	0.9311	0.9159	0.9702	0.9743	0.9774	0.9614	0.9926	0.932	0.9218	0.7033
3	en	es	3	0.9253	0.8635	0.8689	0.9391	0.9704	0.9777	0.9723	0.8959	0.912	0.9398	0.9319	0.9963	0.9309	0.8864	0.9756	0.9793	0.9807	0.966	0.9901	0.949	0.9372	0.7409
4	en	es	3	0.9332	0.8577	0.878	0.9591	0.9706	0.9817	0.9802	0.8951	0.9253	0.9484	0.9438	0.9956	0.9342	0.8837	0.9807	0.9839	0.9833	0.9727	0.9926	0.9572	0.944	0.784
0	en	fr	1	0.9002	0.4844	0.5429	0.6833	0.8863	0.8636	0.658	0.5323	0.5175	0.4923	0.5415	0.9921	0.8772	0.4532	0.5895	0.7626	0.7974	0.8929	0.9231	0.7452	0.7519	0.5598
1	en	fr	1	0.93	0.8438	0.8357	0.9293	0.9626	0.9732	0.9482	0.7461	0.6709	0.8711	0.8687	0.9964	0.9284	0.8374	0.965	0.9597	0.9609	0.9614	0.9826	0.9033	0.8901	0.6832
2	en	fr	1	0.928	0.8432	0.8594	0.9451	0.9636	0.9755	0.9766	0.8486	0.8735	0.9259	0.9266	0.9961	0.9278	0.8598	0.9716	0.9707	0.9737	0.9681	0.9851	0.9386	0.9238	0.7512
3	en	fr	1	0.9234	0.8553	0.8629	0.9487	0.9642	0.974	0.9683	0.866	0.8832	0.9348	0.9346	0.9965	0.9245	0.8787	0.9756	0.9742	0.9741	0.9697	0.9876	0.9411	0.9276	0.7304
4	en	fr	1	0.9265	0.881	0.8898	0.9517	0.9689	0.981	0.9721	0.8956	0.9083	0.9452	0.9492	0.9961	0.9322	0.893	0.9842	0.981	0.9821	0.9682	0.9901	0.9567	0.9428	0.7933
0	en	fr	2	0.8968	0.4928	0.5167	0.7006	0.8898	0.8597	0.6726	0.5815	0.5109	0.4933	0.5538	0.9921	0.8655	0.4348	0.5525	0.7546	0.7959	0.8958	0.9307	0.7288	0.7472	0.5523
1	en	fr	2	0.9267	0.835	0.8193	0.9291	0.9621	0.9709	0.9312	0.7405	0.6784	0.8649	0.8626	0.9958	0.9255	0.8342	0.9635	0.9563	0.9581	0.9594	0.9827	0.8986	0.8823	0.6765
2	en	fr	2	0.9249	0.8663	0.8697	0.9418	0.9613	0.9789	0.968	0.8484	0.8821	0.9298	0.9262	0.9953	0.9271	0.8625	0.9686	0.967	0.9723	0.9647	0.9802	0.934	0.9159	0.7268
3	en	fr	2	0.9274	0.8745	0.8554	0.9457	0.9706	0.9724	0.9609	0.8727	0.894	0.9381	0.9327	0.9958	0.9254	0.886	0.9808	0.9739	0.9768	0.9673	0.9876	0.9419	0.9307	0.7434
4	en	fr	2	0.93	0.875	0.8942	0.9538	0.9695	0.9842	0.9723	0.895	0.9068	0.9432	0.9492	0.9959	0.9303	0.885	0.9824	0.9831	0.9825	0.9743	0.99	0.9616	0.9464	0.8064
0	en	fr	3	0.8962	0.4749	0.54	0.6995	0.8884	0.8589	0.6849	0.5845	0.5345	0.455	0.5916	0.9922	0.8691	0.4134	0.5817	0.7603	0.7959	0.8932	0.9231	0.7317	0.7517	0.5341
1	en	fr	3	0.9243	0.8238	0.824	0.9346	0.9659	0.9756	0.9388	0.7347	0.6914	0.8589	0.8593	0.997	0.9227	0.8423	0.9594	0.9596	0.9636	0.9578	0.9826	0.9042	0.8875	0.6782
2	en	fr	3	0.9296	0.8611	0.8628	0.943	0.9637	0.9778	0.9644	0.8506	0.8716	0.9314	0.9195	0.9961	0.9297	0.8588	0.9721	0.9707	0.9742	0.9683	0.9877	0.9396	0.9225	0.7518
3	en	fr	3	0.9281	0.8664	0.8763	0.946	0.9664	0.9739	0.9606	0.8843	0.8898	0.9344	0.9337	0.9965	0.9297	0.8726	0.9756	0.9741	0.9755	0.9713	0.9851	0.9427	0.9311	0.7518
4	en	fr	3	0.9283	0.8893	0.8898	0.9512	0.9657	0.9818	0.9606	0.8935	0.9243	0.9493	0.9477	0.9965	0.9323	0.8835	0.9722	0.9822	0.9831	0.9701	0.9901	0.9575	0.944	0.8046
0	en	ru	1	0.8958	0.3064	0.5355	0.7028	0.8792	0.8625	0.6698	0.5847	0.5394	0.4827	0.5434	0.9917	0.8785	0.4014	0.5903	0.7602	0.7948	0.8744	0.9125	0.7322	0.7458	0.5115
1	en	ru	1	0.9092	0.824	0.834	0.9118	0.9527	0.9662	0.936	0.8064	0.8251	0.8689	0.8756	0.9954	0.9115	0.8561	0.965	0.9589	0.9666	0.9549	0.9852	0.9053	0.8877	0.6335
2	en	ru	1	0.9029	0.8228	0.8404	0.914	0.9495	0.9746	0.9603	0.8476	0.8902	0.9206	0.9303	0.9939	0.9063	0.8625	0.9583	0.9657	0.9689	0.9601	0.9927	0.9183	0.9022	0.6584
3	en	ru	1	0.9172	0.8589	0.8507	0.9393	0.9582	0.9706	0.9723	0.8901	0.914	0.9343	0.9346	0.9944	0.9204	0.8356	0.9771	0.9769	0.977	0.9674	0.9902	0.9418	0.921	0.7422
4	en	ru	1	0.9093	0.8934	0.878	0.9577	0.9591	0.9771	0.96	0.8935	0.9184	0.9478	0.9479	0.9939	0.9144	0.829	0.9754	0.9822	0.9798	0.971	0.9926	0.9504	0.9268	0.7202
0	en	ru	2	0.8961	0.4656	0.5545	0.6973	0.8809	0.8602	0.6854	0.5612	0.5325	0.4958	0.5378	0.9936	0.8685	0.4055	0.5646	0.7621	0.7972	0.8908	0.9275	0.728	0.7441	0.5291
1	en	ru	2	0.9097	0.8151	0.834	0.9145	0.9513	0.969	0.912	0.8	0.818	0.8746	0.8708	0.996	0.9127	0.8809	0.9614	0.9591	0.9659	0.9538	0.9827	0.9077	0.8916	0.665
2	en	ru	2	0.9038	0.8098	0.8446	0.9199	0.9491	0.9655	0.96	0.8499	0.8866	0.9198	0.9276	0.9936	0.9051	0.8599	0.9684	0.9678	0.9703	0.9615	0.9951	0.9218	0.8992	0.625
3	en	ru	2	0.9182	0.8577	0.875	0.9372	0.9564	0.9754	0.9647	0.8719	0.9158	0.9292	0.9347	0.9949	0.9223	0.8541	0.9772	0.9748	0.9767	0.9683	0.9877	0.9427	0.9213	0.7115
4	en	ru	2	0.9077	0.8862	0.8937	0.956	0.9597	0.9779	0.9641	0.8953	0.9106	0.9511	0.9516	0.9931	0.9116	0.8333	0.9807	0.9823	0.9783	0.9734	0.9951	0.9501	0.9242	0.7078
0	en	ru	3	0.8941	0.469	0.5251	0.699	0.8742	0.8535	0.6842	0.5287	0.5448	0.4509	0.5608	0.9929	0.8744	0.4113	0.5866	0.7594	0.7937	0.8939	0.9181	0.7316	0.7401	0.5319
1	en	ru	3	0.9077	0.8066	0.8151	0.9079	0.9443	0.9694	0.9339	0.8113	0.8223	0.8723	0.8754	0.9956	0.9115	0.8697	0.9565	0.959	0.9666	0.9548	0.9877	0.9048	0.8884	0.6651
2	en	ru	3	0.9038	0.8145	0.8436	0.9157	0.9523	0.9747	0.9606	0.8482	0.8866	0.9236	0.9273	0.9943	0.9091	0.8619	0.9614	0.968	0.9713	0.961	0.9902	0.9205	0.9013	0.6634
3	en	ru	3	0.9143	0.8611	0.8543	0.9363	0.9554	0.9755	0.9644	0.8816	0.9083	0.9313	0.9316	0.9946	0.9186	0.8577	0.9841	0.9752	0.9758	0.966	0.9877	0.9386	0.9198	0.7453
4	en	ru	3	0.9047	0.8835	0.895	0.9556	0.9592	0.9779	0.9639	0.8912	0.9224	0.9484	0.95	0.9929	0.9081	0.814	0.9703	0.9805	0.9793	0.9689	0.9926	0.9535	0.9296	0.7446
0	en	zh	1	0.8853	0.4799	0.522	0.6952	0.8871	0.8509	0.6228	0.5774	0.4777	0.5551	0.5	0.9919	0.8607	0.3697	0.5576	0.7599	0.787	0.8955	0.9224	0.7375	0.7472	0.5137
1	en	zh	1	0.908	0.8137	0.8217	0.9208	0.9539	0.9699	0.9603	0.8198	0.8252	0.8746	0.8764	0.9961	0.9091	0.8619	0.9579	0.958	0.967	0.9537	0.9876	0.9217	0.9073	0.6532
2	en	zh	1	0.8947	0.8224	0.8081	0.914	0.9534	0.9696	0.9639	0.8568	0.897	0.9225	0.9202	0.9929	0.9033	0.8618	0.972	0.9692	0.9727	0.9588	0.99	0.9286	0.9122	0.6781
3	en	zh	1	0.9111	0.8457	0.8507	0.9446	0.9635	0.9731	0.9639	0.8856	0.9087	0.9327	0.9348	0.9943	0.9145	0.8683	0.9689	0.9729	0.9731	0.9618	0.9827	0.9426	0.9256	0.733
4	en	zh	1	0.9079	0.8758	0.8831	0.9554	0.9627	0.9697	0.9721	0.9038	0.9036	0.9457	0.9378	0.9931	0.9109	0.8577	0.9737	0.9787	0.9755	0.9678	0.9901	0.9485	0.9301	0.7594
0	en	zh	2	0.896	0.4922	0.5352	0.7016	0.8863	0.8514	0.6567	0.5658	0.4646	0.4651	0.5812	0.9927	0.8705	0.404	0.602	0.7684	0.7952	0.9015	0.93	0.7367	0.7457	0.522
1	en	zh	2	0.907	0.7913	0.8263	0.9116	0.9534	0.9721	0.9524	0.8136	0.8392	0.8717	0.8783	0.9958	0.9114	0.8717	0.9559	0.9585	0.964	0.9561	0.9901	0.9142	0.8987	0.6551
2	en	zh	2	0.8986	0.8193	0.8031	0.9057	0.9532	0.9697	0.9728	0.8598	0.8916	0.9273	0.9187	0.9934	0.9025	0.8654	0.9686	0.9673	0.9722	0.9543	0.9802	0.9245	0.9111	0.6925
3	en	zh	2	0.9128	0.8566	0.86	0.9474	0.9668	0.9763	0.9723	0.874	0.9209	0.9385	0.93	0.9943	0.9134	0.8626	0.9686	0.9718	0.9729	0.9639	0.9802	0.9448	0.9264	0.7246
4	en	zh	2	0.9086	0.8765	0.8678	0.9605	0.9642	0.9722	0.9804	0.9007	0.9268	0.9483	0.9358	0.9931	0.9117	0.8402	0.9789	0.9799	0.9758	0.9713	0.9901	0.9472	0.9297	0.7553
0	en	zh	3	0.8965	0.4769	0.5161	0.6926	0.8863	0.8595	0.6637	0.5626	0.5086	0.5361	0.5326	0.9932	0.8754	0.4463	0.5892	0.7636	0.7964	0.8934	0.9204	0.7465	0.755	0.5208
1	en	zh	3	0.9041	0.8167	0.8096	0.9159	0.9562	0.9692	0.976	0.807	0.8214	0.8802	0.8699	0.9958	0.9044	0.8571	0.957	0.9577	0.9659	0.9559	0.9851	0.9144	0.899	0.6448
2	en	zh	3	0.8986	0.8023	0.8196	0.9104	0.9557	0.9667	0.9565	0.8476	0.8957	0.9222	0.9205	0.9938	0.9056	0.8525	0.965	0.967	0.973	0.9595	0.99	0.9264	0.9121	0.6324
3	en	zh	3	0.9087	0.8527	0.8588	0.94	0.9683	0.977	0.9636	0.8711	0.894	0.9348	0.932	0.9953	0.9116	0.8708	0.9722	0.972	0.9728	0.9622	0.9826	0.9405	0.9253	0.715
4	en	zh	3	0.9125	0.8785	0.8822	0.9527	0.967	0.9779	0.9762	0.8961	0.9098	0.9475	0.9342	0.9929	0.9166	0.8571	0.9841	0.9784	0.9754	0.9677	0.9902	0.9461	0.9291	0.7639
